Id,Survived,Sex,Age,Fare,1st_Class,2nd_Class,3rd_Class,Family_size,Title_Mr,Title_Mrs,Title_Master,Title_Miss,Port_C,Port_Q,Port_S
792,0,1,0.2,0.0507486202230909,0,1,0,0.0,1,0,0,0,0,0,1
793,0,0,0.35,0.1357525590967682,0,0,1,1.0,0,0,0,1,0,0,1
794,0,1,0.35,0.0599142114093828,1,0,0,0.0,1,0,0,0,1,0,0
795,0,1,0.3125,0.0154115752137492,0,0,1,0.0,1,0,0,0,0,0,1
796,0,1,0.4875,0.0253743101115454,0,1,0,0.0,1,0,0,0,0,0,1
797,1,0,0.6125,0.0506104278264834,1,0,0,0.0,0,1,0,0,0,0,1
798,1,0,0.3875,0.0169486728455063,0,0,1,0.0,1,0,0,0,0,0,1
799,0,1,0.375,0.0141104586660295,0,0,1,0.0,1,0,0,0,1,0,0
800,0,0,0.375,0.0471376607072171,0,0,1,0.2,1,0,0,0,0,0,1
801,0,1,0.425,0.0253743101115454,0,1,0,0.0,1,0,0,0,0,0,1
802,1,0,0.3875,0.051236587725236,0,1,0,0.2,1,0,0,0,0,0,1
803,1,1,0.1375,0.2342244010296504,1,0,0,0.3,0,0,1,0,0,0,1
804,1,1,0.0052499999999999,0.0166234913020768,0,0,1,0.1,0,0,1,0,1,0,0
805,1,1,0.3375,0.0136142933098484,0,0,1,0.0,1,0,0,0,0,0,1
806,0,1,0.3875,0.0151757893167127,0,0,1,0.0,1,0,0,0,0,0,1
807,0,1,0.4875,0.0,1,0,0,0.0,1,0,0,0,0,0,1
808,0,0,0.225,0.0151757893167127,0,0,1,0.0,0,0,0,1,0,0,1
809,0,1,0.4875,0.0253743101115454,0,1,0,0.0,1,0,0,0,0,0,1
810,1,0,0.4125,0.1036442974556203,1,0,0,0.1,1,0,0,0,0,0,1
811,0,1,0.325,0.015395374692678,0,0,1,0.0,1,0,0,0,0,0,1
812,0,1,0.4875,0.0471376607072171,0,0,1,0.0,1,0,0,0,0,0,1
813,0,1,0.4375,0.0204946350900944,0,1,0,0.0,1,0,0,0,0,0,1
814,0,0,0.075,0.0610447345183526,0,0,1,0.6,0,0,0,1,0,0,1
815,0,1,0.38125,0.0157125535690723,0,0,1,0.0,1,0,0,0,0,0,1
816,0,1,0.35,0.0,1,0,0,0.0,1,0,0,0,0,0,1
817,0,0,0.2875,0.0154685698179998,0,0,1,0.0,0,0,0,1,0,0,1
818,0,1,0.3875,0.0722273881715115,0,1,0,0.2,1,0,0,0,1,0,0
819,0,1,0.5375,0.0125895615553437,0,0,1,0.0,1,0,0,0,0,0,1
820,0,1,0.125,0.0544571732393937,0,0,1,0.5,0,0,1,0,0,0,1
821,1,0,0.65,0.1824998458022693,1,0,0,0.2,1,0,0,0,0,0,1
822,1,1,0.3375,0.0169080739493278,0,0,1,0.0,1,0,0,0,0,0,1
823,0,1,0.475,0.0,1,0,0,0.0,1,0,0,0,0,0,1
824,1,0,0.3375,0.0243495783570407,0,0,1,0.1,1,0,0,0,0,0,1
825,0,1,0.025,0.0774648409655354,0,0,1,0.5,0,0,1,0,0,0,1
826,0,1,0.35,0.0135654965596339,0,0,1,0.0,1,0,0,0,0,1,0
827,0,1,0.35,0.1102724576307577,0,0,1,0.0,1,0,0,0,0,0,1
828,1,1,0.0125,0.0722273881715115,0,1,0,0.2,0,0,1,0,1,0,0
829,1,1,0.35,0.0151269925664982,0,0,1,0.0,1,0,0,0,0,1,0
830,1,0,0.775,0.1561496006864336,1,0,0,0.0,1,0,0,0,0,0,0
831,1,0,0.1875,0.0282127194780231,0,0,1,0.1,1,0,0,0,1,0,0
832,1,1,0.0103749999999999,0.0365975626608828,0,1,0,0.2,0,0,1,0,0,0,1
833,0,1,0.35,0.0141104586660295,0,0,1,0.0,1,0,0,0,1,0,0
834,0,1,0.2875,0.0153303774213923,0,0,1,0.0,1,0,0,0,0,0,1
835,0,1,0.225,0.0162005210712174,0,0,1,0.0,1,0,0,0,0,0,1
836,1,0,0.4875,0.1623141917345331,1,0,0,0.2,0,0,0,1,1,0,0
837,0,1,0.2625,0.0169080739493278,0,0,1,0.0,1,0,0,0,0,0,1
838,0,1,0.35,0.0157125535690723,0,0,1,0.0,1,0,0,0,0,0,1
839,1,1,0.4,0.1102724576307577,0,0,1,0.0,1,0,0,0,0,0,1
840,1,1,0.35,0.0579705392548384,1,0,0,0.0,1,0,0,0,1,0,0
841,0,1,0.25,0.0154685698179998,0,0,1,0.0,1,0,0,0,0,0,1
842,0,1,0.2,0.0204946350900944,0,1,0,0.0,1,0,0,0,0,0,1
843,1,0,0.375,0.060507970265993,1,0,0,0.0,0,0,0,1,1,0,0
844,0,1,0.43125,0.0125651631802364,0,0,1,0.0,1,0,0,0,1,0,0
845,0,1,0.2125,0.0169080739493278,0,0,1,0.0,1,0,0,0,0,0,1
846,0,1,0.525,0.0147366185647821,0,0,1,0.0,1,0,0,0,0,0,1
847,0,1,0.35,0.1357525590967682,0,0,1,1.0,1,0,0,0,0,0,1
848,0,1,0.4375,0.0154115752137492,0,0,1,0.0,1,0,0,0,1,0,0
849,0,1,0.35,0.0644117102831538,0,1,0,0.1,1,0,0,0,0,0,1
850,1,0,0.35,0.1739198156185515,1,0,0,0.1,1,0,0,0,1,0,0
851,0,1,0.05,0.0610447345183526,0,0,1,0.6,0,0,1,0,0,0,1
852,0,1,0.925,0.0151757893167127,0,0,1,0.0,1,0,0,0,0,0,1
853,0,0,0.1125,0.0297578197768153,0,0,1,0.2,0,0,0,1,1,0,0
854,1,0,0.2,0.0769036783380685,1,0,0,0.1,0,0,0,1,0,0,1
855,0,0,0.55,0.0507486202230909,0,1,0,0.1,1,0,0,0,0,0,1
856,1,0,0.225,0.0182499845802269,0,0,1,0.1,1,0,0,0,0,0,1
857,1,0,0.5625,0.3217983671436256,1,0,0,0.2,1,0,0,0,0,0,1
858,1,1,0.6375,0.0518221487278101,1,0,0,0.0,1,0,0,0,0,0,1
859,1,0,0.3,0.0375896981862443,0,0,1,0.3,1,0,0,0,1,0,0
860,0,1,0.35,0.0141104586660295,0,0,1,0.0,1,0,0,0,1,0,0
861,0,1,0.5125,0.0275375676420551,0,0,1,0.2,1,0,0,0,0,0,1
862,0,1,0.2625,0.0224465050986748,0,1,0,0.1,1,0,0,0,0,0,1
863,1,0,0.6,0.0506104278264834,1,0,0,0.0,1,0,0,0,0,0,1
864,0,0,0.35,0.1357525590967682,0,0,1,1.0,0,0,0,1,0,0,1
865,0,1,0.3,0.0253743101115454,0,1,0,0.0,1,0,0,0,0,0,1
866,1,0,0.525,0.0253743101115454,0,1,0,0.0,1,0,0,0,0,0,1
867,1,0,0.3375,0.02704960013991,0,1,0,0.1,0,0,0,1,1,0,0
868,0,1,0.3875,0.0985612375792752,1,0,0,0.0,1,0,0,0,0,0,1
869,0,1,0.35,0.0185427650815139,0,0,1,0.0,1,0,0,0,0,0,1
870,1,1,0.05,0.0217307543665283,0,0,1,0.2,0,0,1,0,0,0,1
871,0,1,0.325,0.0154115752137492,0,0,1,0.0,1,0,0,0,0,0,1
872,1,0,0.5875,0.1025789668049371,1,0,0,0.2,1,0,0,0,0,0,1
873,0,1,0.4125,0.0097593500429021,1,0,0,0.0,1,0,0,0,0,0,1
874,0,1,0.5875,0.0175668300772237,0,0,1,0.0,1,0,0,0,0,0,1
875,1,0,0.35,0.04684488020593,0,1,0,0.1,1,0,0,0,1,0,0
876,1,0,0.1875,0.0141022608119935,0,0,1,0.0,0,0,0,1,1,0,0
877,0,1,0.25,0.0192177217304811,0,0,1,0.0,1,0,0,0,0,0,1
878,0,1,0.2375,0.0154115752137492,0,0,1,0.0,1,0,0,0,0,0,1
879,0,1,0.35,0.0154115752137492,0,0,1,0.0,1,0,0,0,0,0,1
880,1,0,0.7,0.1623141917345331,1,0,0,0.1,1,0,0,0,1,0,0
881,1,0,0.3125,0.0507486202230909,0,1,0,0.1,1,0,0,0,0,0,1
882,0,1,0.4125,0.0154115752137492,0,0,1,0.0,1,0,0,0,0,0,1
883,0,0,0.275,0.0205272313192377,0,0,1,0.0,0,0,0,1,0,0,1
884,0,1,0.35,0.0204946350900944,0,1,0,0.0,1,0,0,0,0,0,1
885,0,1,0.3125,0.0137606835604919,0,0,1,0.0,1,0,0,0,0,0,1
886,0,0,0.4875,0.0568482139999047,0,0,1,0.5,1,0,0,0,0,1,0
887,0,1,0.3375,0.0253743101115454,0,1,0,0.0,1,0,0,0,0,0,1
888,1,0,0.2375,0.0585561002574126,1,0,0,0.0,0,0,0,1,0,0,1
889,0,0,0.35,0.0457713517012108,0,0,1,0.3,0,0,0,1,0,0,1
890,1,1,0.325,0.0585561002574126,1,0,0,0.0,1,0,0,0,1,0,0
891,0,1,0.4,0.0151269925664982,0,0,1,0.0,1,0,0,0,0,1,0
